categoria,index,title,slug,found,processed,status,notes
"coolers","116","FAN Cooler TT CT140 EX ARGB (3 Fan Pack) White (4625)","116-fan-cooler-tt-ct140-ex-argb-3-fan-pack-white-4625","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","117","FAN Cooler TT CT120 EX ARGB (3 Fan Pack) White (4618)","117-fan-cooler-tt-ct120-ex-argb-3-fan-pack-white-4618","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","118","CPU Cooler TT ASTRIA 400 ARGB Lighting Intel & AMD (0948)","118-cpu-cooler-tt-astria-400-argb-lighting-intel-amd-0948","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","119","Water Cooling Thermaltake TH360 V2 ARGB Sync AIO 360mm Snow White (9241)","119-water-cooling-thermaltake-th360-v2-argb-sync-aio-360mm-snow-white-9241","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","120","Water Cooling Thermaltake TH240 V2 ARGB Sync AIO 240mm Snow White (9234)","120-water-cooling-thermaltake-th240-v2-argb-sync-aio-240mm-snow-white-9234","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","121","Water Cooling Thermaltake TH120 V2 ARGB Sync AIO 120mm Snow White (9227)","121-water-cooling-thermaltake-th120-v2-argb-sync-aio-120mm-snow-white-9227","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","122","Water Cooling Thermaltake TH420 V2 ARGB Sync AIO 420mm Black (7926)","122-water-cooling-thermaltake-th420-v2-argb-sync-aio-420mm-black-7926","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","123","Water Cooling Thermaltake TH360 V2 ARGB Sync AIO 360mm Black (7902)","123-water-cooling-thermaltake-th360-v2-argb-sync-aio-360mm-black-7902","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","124","Water Cooling Thermaltake TH240 V2 ARGB Sync AIO 240mm Black (7896)","124-water-cooling-thermaltake-th240-v2-argb-sync-aio-240mm-black-7896","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","125","Water Cooling Thermaltake TH120 V2 ARGB Sync AIO 120mm Black (7889)","125-water-cooling-thermaltake-th120-v2-argb-sync-aio-120mm-black-7889","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","126","Water Cooling MSI MAG CORELIQUID E360 3x CPU Cooler 360mm Black (5735)","126-water-cooling-msi-mag-coreliquid-e360-3x-cpu-cooler-360mm-black-5735","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","127","Water Cooling MSI MAG CORELIQUID E240 2x CPU Cooler 240mm Black (5728)","127-water-cooling-msi-mag-coreliquid-e240-2x-cpu-cooler-240mm-black-5728","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","128","Water Cooling MSI MAG CORELIQUID E240 2x CPU Cooler 240mm White (4140)","128-water-cooling-msi-mag-coreliquid-e240-2x-cpu-cooler-240mm-white-4140","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","129","CPU COOLER THERMALTAKE ASTRIA 400 AIR 6 PIPE SYNC WHITE","129-cpu-cooler-thermaltake-astria-400-air-6-pipe-sync-white","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","130","WATER COOLER CPU RAIDMAX LM240 RGB LCD DISPLAY BLACK","130-water-cooler-cpu-raidmax-lm240-rgb-lcd-display-black","1","1","needs_more_images","Faltan 2 imagenes"
"coolers","131","COOLER CPU RAIDMAX AC902K PWM ARGB","131-cooler-cpu-raidmax-ac902k-pwm-argb","1","1","needs_more_images","Faltan 2 imagenes"
